id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,movementDate1,movementDate2,movementDate3,movementDate1R
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Adoption,03/07/2017,05/16/2017,Adult,5,16,2017,May
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Adoption,03/07/2017,12/30/2017,Adult,12,30,2017,December
47575,Moving,Bella Boo!,Mastiff,Brindle,Dog,6 years 9 months.,Female,Adoption,03/07/2017,10/15/2018,Adult,10,15,2018,October
47576,Abandoned,Patty,Pitbull,Tan,Dog,4 years 9 months.,Female,Adoption,03/07/2017,06/05/2017,Adult,6,5,2017,June
47582,Abandoned,Dibs,Pitbull/Mix,White,Dog,5 years 9 months.,Male,Adoption,03/07/2017,04/25/2017,Adult,4,25,2017,April
47591,Abandoned,Serafina,Papillon,White,Dog,8 years 4 months.,Female,Foster,03/09/2017,03/16/2017,Mature,3,16,2017,March
47591,Abandoned,Serafina,Papillon,White,Dog,8 years 4 months.,Female,Adoption,03/09/2017,05/22/2017,Mature,5,22,2017,May
47595,Owner Deceased,Zips,Domestic Short Hair,Black and White,Cat,11 years 4 months.,Female,Adoption,03/09/2017,06/16/2017,Senior,6,16,2017,June
47613,Abandoned,Little Dude,Beagle,Tricolour,Dog,7 years 3 months.,Male,Adoption,03/10/2017,04/02/2017,Mature,4,2,2017,April
47613,Abandoned,Little Dude,Beagle,Tricolour,Dog,7 years 3 months.,Male,Reclaimed,03/10/2017,09/05/2017,Mature,9,5,2017,September
47613,Abandoned,Little Dude,Beagle,Tricolour,Dog,7 years 3 months.,Male,Adoption,03/10/2017,09/06/2017,Mature,9,6,2017,September
47617,Abandoned,Jesse,DSH/Unknown,Grey and White,Cat,7 years 4 months.,Female,Adoption,03/10/2017,04/07/2017,Mature,4,7,2017,April
47627,Abandoned,Binks,DSH/Unknown,Buff,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47627,Abandoned,Binks,DSH/Unknown,Buff,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/14/2017,Adult,5,14,2017,May
47628,Abandoned,Bobbin,DSH/Unknown,Fawn,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47628,Abandoned,Bobbin,DSH/Unknown,Fawn,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/18/2017,Adult,5,18,2017,May
47629,Abandoned,Binkie,DSH/Unknown,Buff,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47629,Abandoned,Binkie,DSH/Unknown,Buff,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/18/2017,Adult,5,18,2017,May
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/18/2017,Adult,4,18,2017,April
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,3 years 4 months.,Male,Foster,03/11/2017,05/16/2017,Adult,5,16,2017,May
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,3 years 4 months.,Male,Adoption,03/11/2017,06/15/2017,Adult,6,15,2017,June
47631,Abandoned,Boomer,DLH/Unknown,Orange,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47631,Abandoned,Boomer,DLH/Unknown,Orange,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/18/2017,Adult,4,18,2017,April
47631,Abandoned,Boomer,DLH/Unknown,Orange,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/11/2017,Adult,5,11,2017,May
47632,Abandoned,Evan,DSH/Unknown,Brown,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47632,Abandoned,Evan,DSH/Unknown,Brown,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/18/2017,Adult,4,18,2017,April
47632,Abandoned,Evan,DSH/Unknown,Brown,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/11/2017,Adult,5,11,2017,May
47633,Abandoned,Beaux,DSH/Unknown,Brown and Black,Cat,3 years 5 months.,Female,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47633,Abandoned,Beaux,DSH/Unknown,Brown and Black,Cat,3 years 5 months.,Female,Adoption,03/11/2017,05/16/2017,Adult,5,16,2017,May
47634,Abandoned,Dusty,Domestic Short Hair,Seal,Cat,3 years 4 months.,Female,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47634,Abandoned,Dusty,Domestic Short Hair,Seal,Cat,3 years 4 months.,Female,Adoption,03/11/2017,05/04/2017,Adult,5,4,2017,May
47635,Abandoned,Ed,Domestic Short Hair,Black and White,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
