id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
47613,Abandoned,Little Dude,Beagle,Tricolour,Dog,7 years 3 months.,Male,Reclaimed,03/10/2017,09/05/2017,Mature,Mature,09,05,2017,03,10,2017
47613,Abandoned,Little Dude,Beagle,Tricolour,Dog,7 years 3 months.,Male,Adoption,03/10/2017,09/06/2017,Mature,Mature,09,06,2017,03,10,2017
47617,Abandoned,Jesse,DSH/Unknown,Grey and White,Cat,7 years 4 months.,Female,Adoption,03/10/2017,04/07/2017,Mature,Mature,04,07,2017,03,10,2017
47627,Abandoned,Binks,DSH/Unknown,Buff,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47627,Abandoned,Binks,DSH/Unknown,Buff,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/14/2017,Adult,Adult,05,14,2017,03,11,2017
47628,Abandoned,Bobbin,DSH/Unknown,Fawn,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47628,Abandoned,Bobbin,DSH/Unknown,Fawn,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/18/2017,Adult,Adult,05,18,2017,03,11,2017
47629,Abandoned,Binkie,DSH/Unknown,Buff,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47629,Abandoned,Binkie,DSH/Unknown,Buff,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/18/2017,Adult,Adult,05,18,2017,03,11,2017
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/18/2017,Adult,Adult,04,18,2017,03,11,2017
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,3 years 4 months.,Male,Foster,03/11/2017,05/16/2017,Adult,Adult,05,16,2017,03,11,2017
47630,Abandoned,Stan,DSH/Unknown,Orange,Cat,3 years 4 months.,Male,Adoption,03/11/2017,06/15/2017,Adult,Adult,06,15,2017,03,11,2017
